config,origin_id,origin_date,omega,alpha,beta,alpha_plus_beta,nu,mu,convergence_flag,convergence_warning,nu_boundary,near_nonstationary,cov_50,cov_80,cov_90,cov_95,cov_99,pi95_width_h63
expanding,38,2016-05-31,0.12556464073465698,0.043070904282793164,0.9363216470871962,0.9793925513699894,4.846747709871322,-0.010272968842865396,0,False,False,False,0.047619047619047616,0.3492063492063492,0.6190476190476191,0.9365079365079365,1.0,84.62115944175822
expanding,39,2016-11-02,0.12120126777322655,0.04242190711740375,0.9374600935772867,0.9798820006946904,4.868593837852918,-0.004271882888526259,0,False,False,False,0.42857142857142855,0.6666666666666666,0.9365079365079365,0.9841269841269841,1.0,111.03970102584391
expanding,40,2017-04-07,0.10813177285525201,0.042068166475393735,0.9398731855064211,0.9819413519818148,4.874792189729752,-0.006575576481795549,0,False,False,False,0.3968253968253968,0.9523809523809523,1.0,1.0,1.0,87.06568178456767
expanding,41,2017-09-11,0.1062421986289684,0.04116928503407508,0.9408494310222536,0.9820187160563287,4.8887980375998605,-0.006781646318820348,0,False,False,False,0.8571428571428571,0.9206349206349206,0.9523809523809523,1.0,1.0,85.37628466155334
expanding,42,2018-02-14,0.09728097265263394,0.04038544405031629,0.9428732290481284,0.9832586730984447,4.940559689549082,-0.007928284251322058,0,False,False,False,0.9047619047619048,0.9523809523809523,1.0,1.0,1.0,77.65777300855972
expanding,43,2018-07-19,0.08053239061428966,0.03918042890548455,0.947051611725177,0.9862320406306616,4.911937061443146,-0.013556058307951407,0,False,False,False,0.6507936507936508,0.9206349206349206,0.9523809523809523,0.9682539682539683,1.0,67.71150185401088
expanding,44,2018-12-20,0.08134189513906227,0.03904833604836598,0.9470481160912526,0.9860964521396186,4.945373846035273,-0.01704255713367351,0,False,False,False,0.9682539682539683,1.0,1.0,1.0,1.0,79.06119123253207
expanding,45,2019-05-28,0.08068411775888222,0.038611590606775936,0.9473446874401535,0.9859562780469295,4.975087363450881,-0.018657959428330644,0,False,False,False,0.36507936507936506,0.6984126984126984,0.8571428571428571,0.9206349206349206,1.0,63.98991115381415
expanding,46,2019-10-29,0.08297747206128521,0.03925963115502538,0.9461119108041309,0.9853715419591563,5.052439514210603,-0.01728855705590414,0,False,False,False,0.06349206349206349,0.4126984126984127,0.5238095238095238,0.7777777777777778,1.0,66.25952401355816
expanding,47,2020-04-02,0.08940991369258916,0.04259728654412406,0.9420336431469322,0.9846309296910563,5.149241178596491,-0.01759542913316912,0,False,False,False,0.47619047619047616,1.0,1.0,1.0,1.0,114.80724851360894
expanding,48,2020-09-04,0.09375558976179346,0.042867465842558614,0.9406812025278557,0.9835486683704143,5.17816741511208,-0.01622743631864013,0,False,False,False,0.12698412698412698,0.31746031746031744,0.5396825396825397,0.8571428571428571,1.0,92.87066175380724
expanding,49,2021-02-09,0.09371912960857345,0.042820014144885024,0.9406402945862196,0.9834603087311046,5.155560169236905,-0.016496430975616795,0,False,False,False,0.5396825396825397,0.873015873015873,0.9682539682539683,1.0,1.0,79.13910834835954
expanding,50,2021-07-13,0.09243337120492429,0.041753089139484834,0.9418309010682772,0.983583990207762,5.160129527496404,-0.014274317558366088,0,False,False,False,0.031746031746031744,0.06349206349206349,0.5396825396825397,0.8571428571428571,0.9047619047619048,105.43932588479045
expanding,51,2021-12-14,0.10435176835800436,0.04426827979172901,0.9373098709555957,0.9815781507473247,5.159280258302379,-0.011688012356245751,0,False,False,False,0.9206349206349206,1.0,1.0,1.0,1.0,177.753401098619
expanding,52,2022-05-18,0.10567963498516236,0.044079183312833,0.937165467601214,0.981244650914047,5.1986272518963075,-0.012967539750927692,0,False,False,False,0.873015873015873,0.9682539682539683,0.9841269841269841,1.0,1.0,190.1571092212995
expanding,53,2022-10-19,0.10236445634721197,0.04280193159431041,0.938881533593003,0.9816834651873134,5.251670030936457,-0.014974495234156364,0,False,False,False,0.031746031746031744,0.36507936507936506,0.7142857142857143,0.9206349206349206,1.0,140.62339712199272
expanding,54,2023-03-24,0.1014142508684432,0.04281701407739022,0.9391280475718169,0.9819450616492071,5.30808872377496,-0.015876229264148486,0,False,False,False,0.5079365079365079,0.9206349206349206,0.9841269841269841,1.0,1.0,131.29430061001153
expanding,55,2023-08-25,0.100181052291478,0.0421757030368177,0.9398254543944762,0.9820011574312939,5.336006134252139,-0.01932492411923843,0,False,False,False,0.6984126984126984,1.0,1.0,1.0,1.0,106.5251111920461
expanding,56,2024-01-30,0.10058091044594356,0.04237669375867601,0.9396558396177396,0.9820325333764156,5.359338817853723,-0.01748899908007329,0,False,False,False,0.6825396825396826,0.9206349206349206,1.0,1.0,1.0,145.17217122015686
expanding,57,2024-07-03,0.10172661823632724,0.0422119574017838,0.939511370212594,0.9817233276143779,5.398296163455237,-0.014369213020323972,0,False,False,False,0.42857142857142855,0.9365079365079365,0.9841269841269841,1.0,1.0,166.74917762299057
